id,code,name,parent_id:id,note,reconcile,type,user_type:id,currency_id:id
ECD3010105011000,3.01.01.05.01.10.00,Reversão dos Saldos das Provisões Operacionais,ECD301010501,Reversão dos Saldos das Provisões Operacionais,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105011010,3.01.01.05.01.10.10,Prêmios Recebidos na Emissão de Debêntures,ECD301010501,Prêmios Recebidos na Emissão de Debêntures,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105011020,3.01.01.05.01.10.20,Doações e Subvenções para Investimentos,ECD301010501,Doações e Subvenções para Investimentos,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105011030,3.01.01.05.01.10.30,Contrapartida dos Ajustes ao Valor Presente,ECD301010501,Contrapartida dos Ajustes ao Valor Presente,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105011040,3.01.01.05.01.10.40,Contrapartida de outros Ajustes às Normas Internacionais de Contabilidade,ECD301010501,Contrapartida de outros Ajustes às Normas Internacionais de Contabilidade,FALSE,other,account.data_account_type_income,base.BRL
ECD3010105011100,3.01.01.05.01.11.00,Outras Receitas Operacionais,ECD301010501,Outras Receitas Operacionais,FALSE,other,account.data_account_type_income,base.BRL
ECD3010107,3.01.01.07,DESPESAS OPERACIONAIS,ECD30101,DESPESAS OPERACIONAIS,FALSE,view,account.data_account_type_view,base.BRL
ECD301010701,3.01.01.07.01,DESPESAS OPERACIONAIS DAS ATIVIDADES EM GERAL,ECD3010107,DESPESAS OPERACIONAIS DAS ATIVIDADES EM GERAL,FALSE,view,account.data_account_type_view,base.BRL
ECD3010107010100,3.01.01.07.01.01.00,Remuneração a Dirigentes e a Conselho de Administração,ECD301010701,Remuneração a Dirigentes e a Conselho de Administração,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010201,3.01.01.07.01.02.01,"Ordenados, Salários Gratificações e Outras Remunerações a Empregados",ECD301010701,"Ordenados, Salários Gratificações e Outras Remunerações a Empregados",FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010203,3.01.01.07.01.02.03,Planos de Poupança e Investimentos de Empregados,ECD301010701,Planos de Poupança e Investimentos de Empregados,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010205,3.01.01.07.01.02.05,Fundo de Aposentadoria Programada Individual de Empregados,ECD301010701,Fundo de Aposentadoria Programada Individual de Empregados,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010207,3.01.01.07.01.02.07,Plano de Previdência Privada de Empregados,ECD301010701,Plano de Previdência Privada de Empregados,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010209,3.01.01.07.01.02.09,Outros Gastos com Pessoal,ECD301010701,Outros Gastos com Pessoal,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010300,3.01.01.07.01.03.00,Prestação de Serviços por Pessoa Física sem Vínculo Empregatício,ECD301010701,Prestação de Serviços por Pessoa Física sem Vínculo Empregatício,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010400,3.01.01.07.01.04.00,Prestação de Serviço Pessoa Jurídica,ECD301010701,Prestação de Serviço Pessoa Jurídica,FALSE,other,account.data_account_type_expense,base.BRL
ECD3010107010401,3.01.01.07.01.04.01,Serviços Prestados por Cooperativa de Trabalho,ECD301010701,Serviços Prestados por Cooperativa de Trabalho,FALSE,other,account.data_account_type_expense,base.BRL
